,city,cloudiness,country,date,humidity,lat,lon,max_temp,wind_speed
332,Sokoni,92,CD,1543195051,98,-12.89,28.78,290.532,1.26
333,Cabedelo,92,BR,1543195051,94,-6.97,-34.84,299.657,5.21
334,Lompoc,1,US,1543193880,86,34.64,-120.46,289.85,2.6
335,Ambon,90,FR,1543194000,100,47.55,-2.56,279.15,2.6
336,Izhma,76,RU,1543195052,73,65.01,53.91,257.157,2.81
337,Ust-Omchug,44,RU,1543195052,60,61.13,149.63,242.857,1.51
338,Kaeo,80,NZ,1543195052,73,-35.1,173.78,293.182,4.46
339,Broome,92,GB,1543193760,87,52.47,1.45,279.15,2.1
340,Medea,20,DZ,1543192200,67,36.27,2.77,289.15,4.1
341,San Luis,32,AR,1543195053,41,-33.3,-66.34,298.182,6.51
342,Mozhaysk,76,RU,1543195054,94,55.5,36.03,267.707,1.96
343,Gusinoye Ozero,36,RU,1543195054,77,51.11,106.26,255.657,2.41
344,Talakan,92,RU,1543195054,84,50.29,130.28,263.782,4.36
345,Honningsvag,80,NO,1543195055,99,70.98,25.97,274.307,6.56
346,Okha,0,RU,1543195055,100,53.59,142.95,257.657,5.86
347,Sayyan,8,YE,1543195055,80,15.17,44.32,276.407,0.61
348,Papara,20,BR,1543190400,74,-3.98,-38.73,301.15,6.2
349,Mayo,20,CA,1543190400,79,63.59,-135.9,269.15,4.6
350,Lagoa Vermelha,0,BR,1543195056,64,-28.21,-51.53,289.307,4.56
351,Semirom,44,IR,1543195056,89,31.41,51.57,269.432,1.21
352,Moree,0,AU,1543194802,50,-29.46,149.84,297.757,3.76
353,Pisco,75,PE,1543194000,88,-13.71,-76.2,292.15,7.2
354,Matara,88,PE,1543195057,89,-13.74,-72.9,282.182,0.76
355,Cairns,20,AU,1543192200,26,-16.92,145.77,312.15,5.1
356,Severo-Kurilsk,92,RU,1543195057,100,50.68,156.12,274.882,8.91
357,Vostok,0,RU,1543195057,79,46.45,135.83,265.857,1.86
358,Kalmunai,68,LK,1543195057,100,7.42,81.82,295.907,1.86
359,Tiznit,88,MA,1543195057,96,29.7,-9.73,287.757,1.61
360,Narsaq,0,GL,1543193400,28,60.91,-46.05,280.15,12.9
361,Saint-Joseph,0,FR,1543194000,87,43.56,6.97,281.15,1.5
362,Hobyo,92,SO,1543195058,96,5.35,48.53,298.707,2.76
363,Kununurra,40,AU,1543192200,55,-15.77,128.74,306.15,3.1
364,Aku,0,NG,1543195058,59,7.36,7.54,296.282,2.51
365,Shelopugino,88,RU,1543195059,87,51.65,117.56,260.707,3.41
366,Vao,80,EE,1543195059,95,59.1,26.19,272.507,2.86
367,Capreol,90,CA,1543190640,91,46.71,-80.92,274.15,4.1
368,Iqaluit,90,CA,1543190400,92,63.75,-68.52,263.15,1.0
369,Herouville-Saint-Clair,90,FR,1543194000,87,49.21,-0.31,280.15,2.6
370,Borba,0,PT,1543195059,91,38.81,-7.46,282.782,6.46
371,Howard Springs,40,AU,1543192200,88,-12.5,131.05,299.15,2.6
